product_name                      , product_description, part_number, category_id, supplier_id, current_stock_level, storage_location, date_added, last_update, unit_cost, retail_price
Coolant                           , null               , null       ,          66,         663,                  89, null            , 7/12/2025 , 8/15/2025  ,        31,           80
Coolant                           , null               , null       ,          23,         486,                   2, null            , 7/1/2025  , 3/12/2026  ,        63,           15
Clutch Master Cylinder            , null               , null       ,          28,         898,                  82, null            , 3/2/2026  , 10/14/2025 ,         3,           80
CV Axle Shaft                     , null               , null       ,          61,         521,                   2, null            , 9/8/2025  , 1/8/2026   ,        33,           43
Clutch Slave Cylinder             , null               , null       ,          65,         228,                  36, null            , 5/8/2025  , 3/11/2025  ,         2,           61
Cooling Fan Motor                 , null               , null       ,           3,         963,                  18, null            , 4/20/2025 , 1/28/2026  ,        20,           53
Brake Pad Set                     , null               , null       ,          25,         942,                  25, null            , 10/20/2025, 3/6/2026   ,        34,           27
Motorcycle Engine Oil             , null               , null       ,          46,         141,                  49, null            , 3/25/2026 , 3/23/2026  ,        53,           20
Radiator Fan                      , null               , null       ,          35,         827,                   9, null            , 3/12/2025 , 8/27/2025  ,        37,           70
Clutch Disc                       , null               , null       ,          69,         242,                  59, null            , 6/8/2025  , 4/9/2025   ,        88,            7
Gear Oil                          , null               , null       ,          26,         644,                  49, null            , 4/13/2026 , 10/5/2025  ,        83,           49
Wheel Bearing Hub                 , null               , null       ,          62,         102,                  18, null            , 7/26/2025 , 1/6/2025   ,        18,           67
Engine Oil - Semi Synthetic       , null               , null       ,          11,         530,                  25, null            , 4/13/2025 , 8/21/2025  ,        15,           18
Coolant                           , null               , null       ,          39,         276,                  62, null            , 8/16/2025 , 12/5/2025  ,        20,            5
Engine Oil - Fully Synthetic      , null               , null       ,          28,          11,                  85, null            , 1/5/2025  , 10/28/2025 ,        66,           57
CV Axle Shaft                     , null               , null       ,          61,         475,                  98, null            , 10/31/2025, 3/5/2026   ,        28,           72
Muffler                           , null               , null       ,          19,         461,                  38, null            , 4/2/2026  , 6/13/2025  ,        43,           77
Shock Absorber                    , null               , null       ,          23,         467,                  36, null            , 1/28/2025 , 8/27/2025  ,        32,           62
Spark Plug                        , null               , null       ,          40,         521,                  75, null            , 4/3/2025  , 10/4/2025  ,        95,            1
Power Steering Pump               , null               , null       ,          27,         701,                  67, null            , 4/15/2025 , 12/12/2025 ,        30,           35
Radiator Hose                     , null               , null       ,           3,         645,                  11, null            , 9/14/2025 , 4/6/2026   ,        24,           52
Brake Pad Set                     , null               , null       ,          25,          53,                  49, null            , 3/23/2026 , 1/30/2025  ,        77,           22
U-Joint                           , null               , null       ,          19,          92,                  26, null            , 6/9/2025  , 10/3/2025  ,        27,           81
Radiator                          , null               , null       ,          62,         517,                  54, null            , 4/12/2026 , 8/31/2025  ,        51,           94
Water Pump                        , null               , null       ,          55,         838,                  15, null            , 3/18/2026 , 2/5/2026   ,        25,           76
Transmission Mount                , null               , null       ,          56,         217,                  38, null            , 8/24/2025 , 11/28/2025 ,        68,           79
Valve Cover Gasket                , null               , null       ,          16,          85,                  35, null            , 4/21/2025 , 1/5/2025   ,        41,           57
Clutch Pressure Plate             , null               , null       ,          68,         690,                  63, null            , 12/27/2025, 5/24/2025  ,        88,           97
Clutch Pressure Plate             , null               , null       ,          47,          74,                  71, null            , 10/30/2025, 1/11/2025  ,        25,           47
Exhaust Manifold                  , null               , null       ,          56,         380,                  40, null            , 2/10/2025 , 11/8/2025  ,        75,           47
Engine Oil - Mineral              , null               , null       ,          52,         565,                  46, null            , 10/24/2025, 6/7/2025   ,        41,           29
Air Filter                        , null               , null       ,          11,         175,                  18, null            , 7/9/2025  , 2/24/2025  ,         9,           53
Oil Filter                        , null               , null       ,          19,          90,                  73, null            , 7/22/2025 , 10/2/2025  ,        76,           25
Gear Oil                          , null               , null       ,          35,         575,                  60, null            , 2/23/2025 , 6/9/2025   ,       100,           10
Serpentine Belt                   , null               , null       ,          66,         709,                  48, null            , 11/4/2025 , 7/25/2025  ,        64,           91
Ignition Coil                     , null               , null       ,          14,         340,                  64, null            , 7/11/2025 , 4/8/2025   ,         5,           36
Muffler                           , null               , null       ,          58,         118,                  23, null            , 1/2/2025  , 3/4/2026   ,        30,           34
Differential Oil                  , null               , null       ,          56,          29,                  17, null            , 8/3/2025  , 1/16/2026  ,        76,           24
Clutch Pressure Plate             , null               , null       ,          50,         792,                  66, null            , 2/26/2026 , 2/27/2025  ,        12,           91
Fuel Pump                         , null               , null       ,          16,         900,                  62, null            , 4/3/2025  , 9/6/2025   ,        86,           13
Cooling Fan Motor                 , null               , null       ,          69,         473,                   9, null            , 12/20/2025, 11/28/2025 ,        49,           56
Ball Joint                        , null               , null       ,          29,          14,                  49, null            , 2/11/2025 , 5/31/2025  ,        16,           71
Power Steering Pump               , null               , null       ,           6,         953,                  54, null            , 5/4/2025  , 1/23/2025  ,        23,           20
Engine Mount                      , null               , null       ,          57,         869,                  54, null            , 3/12/2026 , 12/23/2025 ,        59,           30
Release Bearing                   , null               , null       ,          25,         608,                  17, null            , 10/28/2025, 11/29/2025 ,        11,           64
Spark Plug                        , null               , null       ,          29,         563,                   4, null            , 7/6/2025  , 6/6/2025   ,         9,           56
Heater Hose                       , null               , null       ,           8,         830,                  76, null            , 1/25/2026 , 4/8/2026   ,        51,           20
Valve Cover Gasket                , null               , null       ,          20,         189,                  66, null            , 6/22/2025 , 12/22/2025 ,        67,           82
Oxygen Sensor                     , null               , null       ,          52,          72,                  27, null            , 3/3/2025  , 3/20/2026  ,        68,           16
Handbrake Cable                   , null               , null       ,          56,         576,                  51, null            , 2/1/2025  , 2/26/2026  ,        82,           26
Clutch Master Cylinder            , null               , null       ,          20,         919,                  72, null            , 2/19/2025 , 3/5/2025   ,        83,           59
Clutch Disc                       , null               , null       ,          44,         661,                  67, null            , 4/29/2025 , 11/1/2025  ,        70,           68
Coolant                           , null               , null       ,          12,         908,                  63, null            , 6/23/2025 , 6/15/2025  ,        28,           47
Brake Rotor                       , null               , null       ,          67,         175,                  61, null            , 2/27/2025 , 7/28/2025  ,        76,            7
Oil Pan Gasket                    , null               , null       ,          46,         984,                  17, null            , 1/6/2025  , 1/7/2026   ,        54,           77
Wheel Bearing Hub                 , null               , null       ,          58,         639,                  35, null            , 8/31/2025 , 3/22/2025  ,        92,           74
Exhaust Manifold                  , null               , null       ,          17,          55,                  17, null            , 4/9/2025  , 3/22/2025  ,        28,            9
Control Arm                       , null               , null       ,          70,         875,                  46, null            , 11/4/2025 , 1/21/2025  ,        10,           37
Power Steering Pump               , null               , null       ,          42,         177,                  80, null            , 2/28/2025 , 8/23/2025  ,         5,           11
Expansion Tank                    , null               , null       ,          55,         407,                  96, null            , 4/9/2026  , 7/17/2025  ,        75,           17
Fuel Pump                         , null               , null       ,          62,         884,                  19, null            , 2/24/2026 , 11/2/2025  ,        82,           19
Engine Oil - Fully Synthetic      , null               , null       ,          39,         906,                  93, null            , 6/21/2025 , 12/24/2025 ,        67,           59
Power Steering Fluid              , null               , null       ,          32,         189,                  65, null            , 3/26/2025 , 8/15/2025  ,        71,           33
Ignition Coil                     , null               , null       ,          24,         619,                   9, null            , 7/18/2025 , 2/11/2025  ,        91,           39
Clutch Slave Cylinder             , null               , null       ,          67,         530,                  97, null            , 3/22/2026 , 6/14/2025  ,        94,           88
Brake Pad Set                     , null               , null       ,          18,         210,                  55, null            , 11/7/2025 , 10/29/2025 ,        57,           51
Diesel Engine Oil                 , null               , null       ,          59,         774,                   4, null            , 9/19/2025 , 7/28/2025  ,        46,           87
Catalytic Converter               , null               , null       ,          19,         724,                  11, null            , 4/8/2026  , 12/8/2025  ,        36,           50
U-Joint                           , null               , null       ,          41,          90,                  24, null            , 11/30/2025, 4/4/2026   ,        40,           67
CV Axle Shaft                     , null               , null       ,          32,         526,                  41, null            , 2/24/2026 , 3/8/2025   ,        65,           30
Starter Motor                     , null               , null       ,          69,         392,                  71, null            , 7/31/2025 , 2/26/2025  ,        78,           98
Automatic Transmission Fluid (ATF), null               , null       ,          56,         751,                  89, null            , 12/25/2025, 3/21/2026  ,        19,           93
CV Axle Shaft                     , null               , null       ,          26,         101,                  94, null            , 1/19/2026 , 6/26/2025  ,        28,           74
Mass Air Flow Sensor              , null               , null       ,          31,          65,                  65, null            , 4/13/2025 , 9/22/2025  ,        29,           60
Brake Master Cylinder             , null               , null       ,          64,         683,                  75, null            , 6/3/2025  , 12/8/2025  ,        69,           64
U-Joint                           , null               , null       ,          65,         460,                  57, null            , 1/30/2026 , 7/10/2025  ,        16,           36
Brake Pad Set                     , null               , null       ,          21,         153,                  60, null            , 4/4/2026  , 1/17/2026  ,        67,           91
Engine Oil - Semi Synthetic       , null               , null       ,          10,         272,                  41, null            , 4/6/2026  , 4/25/2025  ,        34,           83
U-Joint                           , null               , null       ,          18,         397,                  21, null            , 5/18/2025 , 8/28/2025  ,         1,           97
Engine Mount                      , null               , null       ,          44,         167,                  62, null            , 10/25/2025, 2/25/2025  ,        19,           58
Tie Rod End                       , null               , null       ,          67,         899,                  42, null            , 1/13/2025 , 6/8/2025   ,        22,           44
Timing Chain                      , null               , null       ,          35,         683,                 100, null            , 2/5/2026  , 1/28/2025  ,        58,           48
Fuel Injector                     , null               , null       ,          50,          30,                  65, null            , 10/30/2025, 12/17/2025 ,        39,           76
Exhaust Manifold                  , null               , null       ,          30,         735,                  19, null            , 1/27/2025 , 6/28/2025  ,        29,           84
Brake Caliper                     , null               , null       ,          16,         918,                  85, null            , 12/20/2025, 3/25/2025  ,        72,           29
Brake Master Cylinder             , null               , null       ,          42,         623,                  70, null            , 3/7/2025  , 7/20/2025  ,        98,           58
Control Arm                       , null               , null       ,          54,          10,                   8, null            , 2/8/2025  , 8/20/2025  ,        37,           54
Starter Motor                     , null               , null       ,          61,         359,                  54, null            , 11/10/2025, 12/26/2025 ,        55,           25
Engine Oil - Fully Synthetic      , null               , null       ,           6,           6,                  98, null            , 3/25/2026 , 11/12/2025 ,        18,           84
Starter Motor                     , null               , null       ,          65,         672,                  50, null            , 4/1/2026  , 2/6/2026   ,         4,           77
Muffler                           , null               , null       ,          35,         904,                  69, null            , 2/24/2025 , 6/14/2025  ,        83,           36
Fuel Pump                         , null               , null       ,          34,         459,                  63, null            , 2/24/2026 , 3/4/2025   ,        88,            3
Radiator                          , null               , null       ,          52,         107,                  13, null            , 4/10/2026 , 2/8/2025   ,        91,           77
Clutch Master Cylinder            , null               , null       ,           3,         549,                  31, null            , 2/10/2025 , 2/10/2026  ,        96,           81
Gear Oil                          , null               , null       ,          64,         429,                  90, null            , 3/16/2025 , 3/10/2025  ,        99,           58
Wheel Bearing Hub                 , null               , null       ,          39,         313,                  24, null            , 3/10/2025 , 9/30/2025  ,        81,           61
Radiator Fan                      , null               , null       ,          46,         827,                  20, null            , 9/22/2025 , 10/24/2025 ,        57,           94
Gear Oil                          , null               , null       ,          41,         330,                  40, null            , 4/11/2025 , 10/2/2025  ,        37,           73
Differential Oil                  , null               , null       ,          24,         780,                  91, null            , 2/25/2026 , 12/9/2025  ,        37,           45
Radiator                          , null               , null       ,          34,         547,                   5, null            , 1/11/2025 , 2/3/2025   ,        44,           50
Clutch Disc                       , null               , null       ,          62,         784,                  89, null            , 1/21/2026 , 4/18/2026  ,        81,           32
Engine Oil - Semi Synthetic       , null               , null       ,          12,         286,                  49, null            , 11/19/2025, 2/11/2025  ,        94,           13
Catalytic Converter               , null               , null       ,          37,         891,                  99, null            , 2/21/2026 , 7/6/2025   ,        14,           25
Valve Cover Gasket                , null               , null       ,          48,         570,                   1, null            , 3/3/2025  , 9/1/2025   ,        30,           61
Muffler                           , null               , null       ,          55,         803,                  85, null            , 3/4/2026  , 9/3/2025   ,        70,           30
Catalytic Converter               , null               , null       ,          68,         766,                  83, null            , 6/27/2025 , 7/23/2025  ,        36,           80
Motorcycle Engine Oil             , null               , null       ,          42,          47,                   3, null            , 7/28/2025 , 8/12/2025  ,        34,           85
Brake Caliper                     , null               , null       ,          31,         751,                  92, null            , 12/30/2025, 5/27/2025  ,        42,           73
Power Steering Fluid              , null               , null       ,          13,         570,                  50, null            , 8/1/2025  , 11/5/2025  ,        66,           94
Gear Oil                          , null               , null       ,          22,         896,                  85, null            , 3/25/2026 , 6/12/2025  ,        16,           33
Power Steering Fluid              , null               , null       ,          65,          79,                  70, null            , 3/5/2026  , 6/10/2025  ,        57,           28
Engine Oil - Fully Synthetic      , null               , null       ,          24,         225,                  15, null            , 10/5/2025 , 8/12/2025  ,        73,           63
Oxygen Sensor                     , null               , null       ,          39,         180,                  97, null            , 3/4/2025  , 8/29/2025  ,         5,           27
Power Steering Pump               , null               , null       ,           9,         601,                  99, null            , 2/13/2026 , 1/14/2025  ,        43,           55
Timing Belt                       , null               , null       ,          65,         336,                  46, null            , 1/29/2025 , 5/13/2025  ,        38,           41
Timing Chain                      , null               , null       ,           4,         830,                  21, null            , 1/22/2025 , 4/11/2025  ,        56,            1
Thermostat                        , null               , null       ,          43,         827,                  69, null            , 10/31/2025, 11/2/2025  ,         4,           28
Strut Assembly                    , null               , null       ,          21,         663,                  87, null            , 5/13/2025 , 9/1/2025   ,        69,           85
Differential Oil Seal             , null               , null       ,          39,         767,                  79, null            , 3/1/2026  , 3/25/2026  ,        38,           12
Timing Chain                      , null               , null       ,          69,         199,                  10, null            , 2/15/2026 , 1/2/2026   ,        97,           40
Diesel Engine Oil                 , null               , null       ,          48,         671,                  12, null            , 10/8/2025 , 4/16/2025  ,        54,           36
Tie Rod End                       , null               , null       ,          57,           2,                  63, null            , 12/12/2025, 2/21/2026  ,        84,           60
Engine Oil - Fully Synthetic      , null               , null       ,          50,         672,                  76, null            , 1/14/2026 , 6/10/2025  ,        83,           85
Oxygen Sensor                     , null               , null       ,          30,         713,                  20, null            , 4/4/2026  , 10/7/2025  ,         5,           20
Alternator                        , null               , null       ,          24,          39,                  13, null            , 11/19/2025, 8/2/2025   ,        56,           76
Ignition Coil                     , null               , null       ,          62,         820,                  49, null            , 8/8/2025  , 6/26/2025  ,        24,           62
Fuel Injector                     , null               , null       ,          46,         469,                  40, null            , 8/19/2025 , 7/27/2025  ,        71,           29
Brake Pad Set                     , null               , null       ,          18,         405,                  59, null            , 10/6/2025 , 12/11/2025 ,        31,           36
U-Joint                           , null               , null       ,          12,          99,                  55, null            , 3/25/2026 , 3/26/2025  ,        49,           93
Brake Fluid                       , null               , null       ,          47,         522,                  15, null            , 1/13/2025 , 2/14/2025  ,        79,           49
Alternator                        , null               , null       ,          53,         258,                  18, null            , 1/29/2025 , 1/18/2025  ,        78,           47
Gear Oil                          , null               , null       ,          42,          19,                  47, null            , 4/14/2025 , 6/11/2025  ,        15,           16
Differential Oil Seal             , null               , null       ,          53,         770,                  49, null            , 7/16/2025 , 11/5/2025  ,        38,           56
Release Bearing                   , null               , null       ,          14,         279,                  11, null            , 3/25/2026 , 12/9/2025  ,        67,           38
Manual Transmission Oil           , null               , null       ,          30,         952,                  72, null            , 12/31/2025, 3/1/2026   ,        17,           67
U-Joint                           , null               , null       ,          28,         488,                  67, null            , 3/5/2026  , 7/8/2025   ,        82,            2
Motorcycle Engine Oil             , null               , null       ,          21,         496,                  59, null            , 4/13/2026 , 12/26/2025 ,        54,           63
Timing Belt                       , null               , null       ,          35,         258,                  32, null            , 4/15/2025 , 1/5/2025   ,         2,           51
Power Steering Pump               , null               , null       ,          25,         438,                  20, null            , 8/30/2025 , 8/21/2025  ,        64,           33
Gear Oil                          , null               , null       ,          34,         994,                   7, null            , 8/10/2025 , 9/9/2025   ,        93,           67
Oxygen Sensor                     , null               , null       ,          54,         696,                   6, null            , 7/11/2025 , 12/26/2025 ,         2,            8
Clutch Disc                       , null               , null       ,          69,         408,                  32, null            , 10/23/2025, 1/29/2026  ,        24,           97
Clutch Pressure Plate             , null               , null       ,          30,         277,                  42, null            , 12/11/2025, 4/6/2026   ,        64,           77
Valve Cover Gasket                , null               , null       ,          55,         379,                  38, null            , 4/27/2025 , 6/12/2025  ,        22,           76
Radiator Hose                     , null               , null       ,          49,         785,                  36, null            , 1/30/2025 , 7/7/2025   ,        31,           66
Diesel Engine Oil                 , null               , null       ,           9,         272,                  43, null            , 1/29/2026 , 3/9/2025   ,        43,           69
Thermostat                        , null               , null       ,          10,         732,                  28, null            , 1/3/2026  , 10/27/2025 ,        73,           98
Wheel Bearing Hub                 , null               , null       ,          21,         542,                  51, null            , 11/10/2025, 1/28/2026  ,        44,           58
Power Steering Fluid              , null               , null       ,          64,         193,                  42, null            , 2/23/2026 , 12/3/2025  ,        52,           62
Air Filter                        , null               , null       ,          21,         578,                  34, null            , 2/18/2025 , 7/31/2025  ,        81,           83
Expansion Tank                    , null               , null       ,          68,         507,                  62, null            , 8/5/2025  , 11/27/2025 ,        71,           63
Brake Shoe Set                    , null               , null       ,          41,         172,                  50, null            , 7/1/2025  , 6/28/2025  ,        53,           10
Clutch Pressure Plate             , null               , null       ,          27,         263,                  70, null            , 12/23/2025, 5/29/2025  ,        48,           81
Control Arm                       , null               , null       ,          40,         582,                  67, null            , 4/29/2025 , 4/23/2025  ,        35,           60
Timing Chain                      , null               , null       ,          12,         995,                  24, null            , 1/22/2025 , 4/8/2026   ,        89,           63
CV Axle Shaft                     , null               , null       ,          24,         799,                  56, null            , 1/21/2025 , 6/16/2025  ,        36,           55
Timing Belt                       , null               , null       ,          52,         348,                  91, null            , 3/28/2025 , 7/21/2025  ,        70,           34
Engine Mount                      , null               , null       ,          28,         580,                  54, null            , 2/27/2026 , 12/15/2025 ,        42,            7
Thermostat                        , null               , null       ,           1,         173,                  26, null            , 3/9/2026  , 1/28/2025  ,        56,           69
Coolant                           , null               , null       ,          11,          25,                   8, null            , 3/15/2025 , 3/1/2025   ,        19,           34
Brake Master Cylinder             , null               , null       ,          50,         351,                  12, null            , 11/23/2025, 3/14/2026  ,        60,           34
Ball Joint                        , null               , null       ,           7,         917,                  88, null            , 4/8/2025  , 4/28/2025  ,        61,           10
Differential Oil Seal             , null               , null       ,          25,         635,                  84, null            , 1/7/2026  , 5/24/2025  ,        17,           91
Radiator                          , null               , null       ,          35,         922,                  34, null            , 4/6/2025  , 10/5/2025  ,        77,            2
Timing Belt                       , null               , null       ,          59,         921,                  45, null            , 3/9/2026  , 1/10/2026  ,        42,           49
Valve Cover Gasket                , null               , null       ,          36,         562,                  21, null            , 8/8/2025  , 3/9/2026   ,        96,           69
Transmission Mount                , null               , null       ,          45,         550,                   2, null            , 2/14/2026 , 7/4/2025   ,        80,           33
Thermostat                        , null               , null       ,          11,         679,                   8, null            , 6/3/2025  , 4/23/2025  ,        94,           92
Radiator Fan                      , null               , null       ,          68,         172,                  86, null            , 11/14/2025, 6/21/2025  ,        97,           95
Ignition Coil                     , null               , null       ,           8,         952,                  55, null            , 12/20/2025, 6/23/2025  ,        49,           80
Differential Oil                  , null               , null       ,          48,         304,                  83, null            , 2/25/2025 , 9/22/2025  ,         9,           44
Shock Absorber                    , null               , null       ,          63,         192,                  40, null            , 9/15/2025 , 11/17/2025 ,        55,           99
Radiator Hose                     , null               , null       ,          11,         328,                  40, null            , 2/9/2026  , 12/26/2025 ,        69,           63
Brake Caliper                     , null               , null       ,          14,         414,                   5, null            , 4/27/2025 , 11/4/2025  ,        26,           89
Spark Plug                        , null               , null       ,          48,          75,                  47, null            , 12/10/2025, 11/27/2025 ,        43,           42
Strut Assembly                    , null               , null       ,          52,         296,                  62, null            , 9/22/2025 , 10/23/2025 ,        58,           25
Brake Shoe Set                    , null               , null       ,          38,         820,                   8, null            , 8/13/2025 , 9/28/2025  ,        58,            9
Serpentine Belt                   , null               , null       ,          53,         372,                  41, null            , 1/12/2026 , 4/15/2026  ,        82,           18
Cooling Fan Motor                 , null               , null       ,          23,         826,                  41, null            , 2/27/2025 , 8/4/2025   ,        22,           28
Clutch Master Cylinder            , null               , null       ,          11,         978,                  36, null            , 3/9/2026  , 8/28/2025  ,        86,            7
Muffler                           , null               , null       ,          67,         689,                  64, null            , 2/15/2026 , 8/8/2025   ,        69,           63
Heater Hose                       , null               , null       ,          30,         387,                   4, null            , 11/6/2025 , 12/16/2025 ,         8,           63
Serpentine Belt                   , null               , null       ,          10,         878,                  78, null            , 3/3/2025  , 3/8/2025   ,        36,           21
Cooling Fan Motor                 , null               , null       ,          11,          18,                  30, null            , 4/4/2026  , 1/22/2026  ,        63,           36
Clutch Slave Cylinder             , null               , null       ,           2,         395,                  74, null            , 11/25/2025, 11/18/2025 ,        68,           56
Coolant                           , null               , null       ,          37,          37,                  46, null            , 8/7/2025  , 1/3/2025   ,        15,           35
CV Axle Shaft                     , null               , null       ,           4,         135,                  41, null            , 3/5/2026  , 7/11/2025  ,         8,           52
Fuel Pump                         , null               , null       ,          44,         692,                  34, null            , 3/11/2025 , 1/17/2026  ,        10,           85
Clutch Slave Cylinder             , null               , null       ,          34,         500,                  35, null            , 7/27/2025 , 11/12/2025 ,        91,           14
Differential Oil                  , null               , null       ,           2,         827,                  63, null            , 5/7/2025  , 10/20/2025 ,        75,           35
Differential Oil Seal             , null               , null       ,          20,         566,                  57, null            , 3/30/2026 , 3/12/2026  ,        91,            5
Spark Plug                        , null               , null       ,          17,          75,                  57, null            , 8/4/2025  , 1/9/2026   ,        99,           47
Mass Air Flow Sensor              , null               , null       ,          44,         204,                 100, null            , 12/16/2025, 1/29/2026  ,        18,           81
Throttle Body                     , null               , null       ,          49,         479,                  46, null            , 3/17/2026 , 10/26/2025 ,        86,           52
Cooling Fan Motor                 , null               , null       ,          16,         919,                  34, null            , 9/5/2025  , 3/30/2025  ,        25,           39
Oil Pan Gasket                    , null               , null       ,          59,         118,                  70, null            , 4/5/2026  , 12/10/2025 ,        32,           54
Brake Rotor                       , null               , null       ,          66,         885,                  90, null            , 3/2/2026  , 7/14/2025  ,        74,           86
Heater Hose                       , null               , null       ,          43,         112,                  15, null            , 4/7/2026  , 7/3/2025   ,        63,           14
CV Axle Shaft                     , null               , null       ,           4,         718,                  90, null            , 2/1/2026  , 12/7/2025  ,        31,           69
Cooling Fan Motor                 , null               , null       ,          42,         517,                  62, null            , 9/5/2025  , 4/7/2026   ,        26,           96
Fuel Pump                         , null               , null       ,           5,         519,                  34, null            , 5/29/2025 , 2/26/2026  ,        90,           29
Clutch Pressure Plate             , null               , null       ,          54,         716,                  79, null            , 6/17/2025 , 11/3/2025  ,        13,           13
Fuel Pump                         , null               , null       ,          28,         838,                  81, null            , 8/31/2025 , 9/18/2025  ,        30,           72
Muffler                           , null               , null       ,          15,         623,                  79, null            , 4/24/2025 , 4/29/2025  ,        45,           85
Manual Transmission Oil           , null               , null       ,          57,          58,                  61, null            , 5/7/2025  , 7/11/2025  ,        67,           59
Transmission Mount                , null               , null       ,          58,         678,                  78, null            , 2/4/2026  , 2/15/2025  ,        19,            1
Power Steering Fluid              , null               , null       ,          25,         556,                  36, null            , 10/17/2025, 9/16/2025  ,        23,           22
Ignition Coil                     , null               , null       ,           1,         453,                  55, null            , 12/10/2025, 12/18/2025 ,        85,           70
Thermostat                        , null               , null       ,          58,         622,                  28, null            , 6/14/2025 , 3/26/2025  ,        45,           18
Engine Oil - Semi Synthetic       , null               , null       ,          12,         937,                  34, null            , 9/21/2025 , 1/4/2026   ,        55,           48
Clutch Disc                       , null               , null       ,          41,         383,                  94, null            , 3/20/2026 , 12/8/2025  ,        69,           89
Oxygen Sensor                     , null               , null       ,          37,         986,                  69, null            , 1/6/2026  , 8/7/2025   ,        35,           37
Oil Pan Gasket                    , null               , null       ,          17,         782,                  22, null            , 8/15/2025 , 1/27/2026  ,         5,           33
CV Axle Shaft                     , null               , null       ,          66,         535,                  92, null            , 2/27/2026 , 1/25/2026  ,        90,           12
Clutch Master Cylinder            , null               , null       ,          51,         567,                  72, null            , 3/5/2026  , 7/27/2025  ,        13,           38
Brake Caliper                     , null               , null       ,          40,         632,                  24, null            , 3/22/2026 , 6/7/2025   ,        66,           20
Brake Caliper                     , null               , null       ,          67,         664,                  71, null            , 8/30/2025 , 4/22/2025  ,        77,           88
Coolant                           , null               , null       ,           9,         174,                  14, null            , 2/19/2026 , 9/22/2025  ,        50,           93
Brake Master Cylinder             , null               , null       ,          14,          29,                  42, null            , 8/31/2025 , 7/1/2025   ,        43,            8
Air Filter                        , null               , null       ,          57,         226,                  82, null            , 6/28/2025 , 2/8/2025   ,        64,           41
Diesel Engine Oil                 , null               , null       ,          52,         642,                  89, null            , 3/16/2026 , 8/11/2025  ,        10,           48
Manual Transmission Oil           , null               , null       ,           2,         821,                  64, null            , 8/28/2025 , 8/18/2025  ,        38,           73
Power Steering Fluid              , null               , null       ,          60,         661,                  28, null            , 1/5/2026  , 9/1/2025   ,        36,           22
Cooling Fan Motor                 , null               , null       ,          55,         999,                  60, null            , 12/23/2025, 3/20/2025  ,        95,           10
Spark Plug                        , null               , null       ,          35,         489,                  58, null            , 2/1/2026  , 12/14/2025 ,        75,            2
Power Steering Fluid              , null               , null       ,          68,         904,                  74, null            , 4/18/2025 , 1/31/2025  ,        61,           81
Thermostat                        , null               , null       ,          30,         363,                 100, null            , 1/12/2026 , 2/17/2025  ,        15,           50
Radiator Fan                      , null               , null       ,          54,         508,                  25, null            , 4/21/2025 , 8/5/2025   ,        76,           82
Brake Caliper                     , null               , null       ,          28,         459,                  14, null            , 2/13/2026 , 6/10/2025  ,         3,           98
Ignition Coil                     , null               , null       ,          41,         206,                  79, null            , 2/11/2026 , 1/5/2025   ,        90,           68
Clutch Disc                       , null               , null       ,          51,         402,                  66, null            , 7/3/2025  , 3/22/2026  ,        73,           39
Timing Chain                      , null               , null       ,          27,         484,                  24, null            , 4/20/2025 , 1/25/2026  ,        59,           48
Engine Mount                      , null               , null       ,          12,         835,                 100, null            , 1/7/2026  , 5/10/2025  ,        43,           83
Differential Oil Seal             , null               , null       ,          38,         340,                  46, null            , 3/4/2025  , 5/31/2025  ,        41,           43
Clutch Slave Cylinder             , null               , null       ,          43,         555,                  81, null            , 2/17/2025 , 3/21/2026  ,        74,           50
Engine Mount                      , null               , null       ,          54,         332,                  56, null            , 3/22/2025 , 7/21/2025  ,        80,           30
Fuel Injector                     , null               , null       ,          59,          44,                  24, null            , 1/27/2026 , 12/9/2025  ,        57,           47
Timing Belt                       , null               , null       ,          61,         461,                  55, null            , 5/20/2025 , 8/25/2025  ,        49,           59
Strut Assembly                    , null               , null       ,          63,         124,                  34, null            , 4/15/2026 , 5/9/2025   ,        61,           66
Clutch Slave Cylinder             , null               , null       ,          11,         138,                  84, null            , 4/10/2025 , 4/5/2026   ,        34,           59
Strut Assembly                    , null               , null       ,          34,         912,                  56, null            , 9/19/2025 , 2/10/2026  ,        56,           51
Clutch Disc                       , null               , null       ,          54,         231,                  50, null            , 12/13/2025, 10/1/2025  ,        90,           41
Timing Chain                      , null               , null       ,          21,         678,                  89, null            , 4/1/2026  , 4/28/2025  ,        50,           29
Differential Oil                  , null               , null       ,          52,         229,                  91, null            , 8/5/2025  , 10/23/2025 ,         4,           73
